Detroit Pistons,112,Boston Celtics,128,-16
New York Knicks,85,Brooklyn Nets,112,-27
Houston Rockets,109,Toronto Raptors,116,-7
New Orleans Pelicans,115,Chicago Bulls,111,4
Phoenix Suns,129,Minnesota Timberwolves,117,12
Milwaukee Bucks,136,Oklahoma City Thunder,132,4
Memphis Grizzlies,124,San Antonio Spurs,122,2
Los Angeles Lakers,101,Los Angeles Clippers,114,-13
Cleveland Cavaliers,120,Sacramento Kings,127,-7
Dallas Mavericks,105,Washington Wizards,113,-8
Philadelphia 76ers,95,Atlanta Hawks,104,-9
Charlotte Hornets,112,Miami Heat,117,-5
Portland Trail Blazers,106,New Orleans Pelicans,95,11
Denver Nuggets,112,Boston Celtics,131,-19
Phoenix Suns,97,Orlando Magic,114,-17
Detroit Pistons,112,New York Knicks,121,-9
Toronto Raptors,113,Oklahoma City Thunder,132,-19
Milwaukee Bucks,93,San Antonio Spurs,111,-18
Minnesota Timberwolves,103,Memphis Grizzlies,114,-11
Cleveland Cavaliers,101,Golden State Warriors,106,-5
Sacramento Kings,120,Los Angeles Lakers,114,6
Brooklyn Nets,110,Los Angeles Clippers,95,15
Utah Jazz,112,Washington Wizards,121,-9
Boston Celtics,117,Detroit Pistons,108,9
Toronto Raptors,104,Indiana Pacers,118,-14
Atlanta Hawks,109,Philadelphia 76ers,121,-12
Charlotte Hornets,115,Miami Heat,132,-17
Portland Trail Blazers,112,Dallas Mavericks,117,-5
Houston Rockets,106,New Orleans Pelicans,119,-13
Oklahoma City Thunder,145,New York Knicks,135,10
Minnesota Timberwolves,129,Cleveland Cavaliers,124,5
Memphis Grizzlies,92,Washington Wizards,102,-10
Utah Jazz,98,Philadelphia 76ers,105,-7
Denver Nuggets,126,Chicago Bulls,103,23
Golden State Warriors,115,Sacramento Kings,122,-7
Brooklyn Nets,103,Los Angeles Lakers,116,-13
Toronto Raptors,115,Detroit Pistons,111,4
Charlotte Hornets,112,Orlando Magic,105,7
Oklahoma City Thunder,122,Boston Celtics,126,-4
Phoenix Suns,112,Miami Heat,113,-1
Los Angeles Clippers,122,Houston Rockets,106,16
Atlanta Hawks,121,Milwaukee Bucks,106,15
San Antonio Spurs,95,Golden State Warriors,132,-37
Memphis Grizzlies,102,New Orleans Pelicans,113,-11
Los Angeles Clippers,101,Dallas Mavericks,103,-2
New York Knicks,118,Utah Jazz,111,7
San Antonio Spurs,110,Portland Trail Blazers,117,-7
Brooklyn Nets,121,Sacramento Kings,153,-32
Indiana Pacers,125,Charlotte Hornets,113,12
Minnesota Timberwolves,126,Orlando Magic,108,18
Oklahoma City Thunder,121,Washington Wizards,120,1
Boston Celtics,126,Atlanta Hawks,101,25
Miami Heat,104,Toronto Raptors,112,-8
Cleveland Cavaliers,98,Milwaukee Bucks,113,-15
Chicago Bulls,110,New Orleans Pelicans,124,-14
Houston Rockets,101,Dallas Mavericks,92,9
New York Knicks,106,Denver Nuggets,103,3
Golden State Warriors,119,Phoenix Suns,130,-11
Brooklyn Nets,109,Portland Trail Blazers,107,2
San Antonio Spurs,112,Sacramento Kings,130,-18
Detroit Pistons,91,Los Angeles Clippers,96,-5
Miami Heat,106,Washington Wizards,107,-1
Charlotte Hornets,122,Cleveland Cavaliers,132,-10
Milwaukee Bucks,102,Philadelphia 76ers,110,-8
Orlando Magic,108,Chicago Bulls,107,1
Indiana Pacers,99,Houston Rockets,91,8
Oklahoma City Thunder,110,Memphis Grizzlies,121,-11
Denver Nuggets,99,Dallas Mavericks,127,-28
